lang	p_nr	ann_pos	ann_elem	base_pos	base_pos
nor	2	32:33	['«vente».']	32:34	['«vente»', '.']
nor	14	46:47	['se».']	46:48	['se»', '.']
nor	21	30:31	['Worse»,']	30:32	['Worse»', ',']
nor	53	18:19	['«Kontoret».']	18:20	['«Kontoret»', '.']
nor	56	15:16	['«Feberen»;']	15:17	['«Feberen»', ';']
nor	70	13:14	['end»,']	13:15	['end»', ',']
nor	83	39:40	['Truede']	39:40	['truede']
nor	89	37:38	['>']	37:37	[]
nor	192	10:11	['«Madeira».']	10:12	['«Madeira»', '.']
nor	213	50:51	['fjerne».']	50:52	['fjerne»', '.']
nor	308	62:63	['«Grønlandsstudent».']	62:64	['«Grønlandsstudent»', '.']
nor	325	161:162	['med–']	161:163	['med', '–']
nor	412	12:13	['ud!»,']	12:14	['ud!»', ',']
nor	424	18:19	['Trued']	18:19	['trued']
nor	434	12:14	['Kanske', ',']	12:13	['Kanske,']
nor	441	5:7	['Nej', ',']	5:6	['Nej,']
nor	477	142:144	['Nej', ',']	142:143	['Nej,']
nor	494	11:12	['«stygge»,']	11:13	['«stygge»', ',']
nor	494	13:14	['«umoralske»,']	14:16	['«umoralske»', ',']
nor	494	15:16	['«usædelige»,']	17:19	['«usædelige»', ',']
nor	494	17:18	['«ukristelige»,']	20:22	['«ukristelige»', ',']
nor	495	13:15	['Ajo', ',']	13:14	['Ajo,']
nor	496	10:11	['Trued']	10:11	['trued']
nor	506	44:45	['«Aprilsvejr».']	44:46	['«Aprilsvejr»', '.']
nor	540	80:81	['«Frøken,»>']	80:81	['«Frøken,»']
nor	540	188:189	['–«nu']	188:190	['–', '«nu']
nor	584	115:116	['Lykke».']	115:117	['Lykke»', '.']
nor	584	127:128	['Rang».']	128:130	['Rang»', '.']
nor	607	4:6	['det', ',']	4:5	['det,']
nor	635	1:3	['gjerne', ',']	1:2	['gjerne,']
nor	659	114:115	['Konstabelslusken»,']	114:116	['Konstabelslusken»', ',']
nor	661	53:54	['«foreskrevne»,']	53:55	['«foreskrevne»', ',']
nor	674	27:28	['Fusentast»;']	27:29	['Fusentast»', ';']
nor	674	68:69	['moderat»,']	69:71	['moderat»', ',']
nor	674	92:93	['Messehagel».']	94:96	['Messehagel»', '.']
nor	681	6:7	['Upplysningar».']	6:8	['Upplysningar»', '.']
nor	694	200:201	['Kreds»,']	200:202	['Kreds»', ',']
nor	697	155:156	['«du»?»']	155:157	['«du»', '?»']
nor	698	63:64	['Ideer»,']	63:65	['Ideer»', ',']
nor	704	216:217	['«Fabriken»,']	216:218	['«Fabriken»', ',']
nor	705	47:48	['Søn»,']	47:49	['Søn»', ',']
nor	705	54:55	['Ideen»;']	55:57	['Ideen»', ';']
nor	710	27:28	['Dampen».']	27:29	['Dampen»', '.']
nor	710	64:64	[]	65:66	['«folkelegt»']
nor	711	37:38	['Skik»;']	37:39	['Skik»', ';']
nor	714	22:23	['«Botnskrape»,']	22:24	['«Botnskrape»', ',']
nor	714	39:40	['Morro».']	40:42	['Morro»', '.']
nor	714	118:119	['«Rektor»,']	120:122	['«Rektor»', ',']
nor	724	7:8	['«meiningslause»,']	7:9	['«meiningslause»', ',']
nor	724	43:44	['«Øl-Ridir»;']	44:46	['«Øl-Ridir»', ';']
nor	724	62:63	['med»,']	64:66	['med»', ',']
nor	724	83:84	['Dagar»,']	86:88	['Dagar»', ',']
nor	728	93:94	['Bisp».']	93:95	['Bisp»', '.']
nor	729	158:159	['Repræsentant».']	158:160	['Repræsentant»', '.']
nor	730	119:120	['«Besøk»,']	119:121	['«Besøk»', ',']
nor	733	51:52	['Israelit»!']	51:53	['Israelit»', '!']
nor	735	394:394	[]	394:538	['«Ja,»', 'sagde', 'Daniel;', '«dei', 'segjer', 'Sørbraut.»', '«So', 'heiter', 'Garden', 'Sørbraut', 'daa,»', 'dømde', 'Haugum;', '«og', 'det', 'skulde', 'ikkje', 'vera', 'godt', 'nok?»', '–', '«Sørbraut?»', 'spurde', 'Daniel', 'med', 'store', 'Augo.', 'Javisst!', 'Sørbraut!', '«Sørbraut', 'er', 'eit', 'godt', 'Namn,»', 'dømde', 'Markus', 'Olivarius.', '«Men', 'Sørbrød', '–', 'ha-ha-ha-ha!', 'Søerbrøzz«', '–', 'han', 'hermde', 'det', 'paa', 'Dansk', '–,', '«det', 'duger', 'ikkje.', 'Ha-ha-ha!', 'Det', 'er', 'dei', 'danske', 'Futane', 'som', 'hev', 'funni', 'paa', 'det.', 'Søerbrøzz,', 'ha-ha-ha-ha!»', '–', '«Surbrød,»', 'smaalo', 'Johannes', 'Ortvedt.', 'Daniel', 'raudna;', 'men', 'han', 'kom', 'seg', 'att,', 'daa', 'han', 'saag', 'at', 'ingin', 'hadde', 'lagt', 'Merke', 'til', 'det.', 'Markus', 'Olivarius', 'tala', 'lærdt', 'um', 'norske', 'Gardsnamn', 'og', 'danske', 'Futar;', 'men', 'Haugum', 'heldt', 'fram', 'med', 'sitt.', 'Sørbraut', 'var', 'eit', 'godt', 'og', 'norskt', 'Namn,', 'som', 'han', 'burde', 'brùka;', '–', '«ikkje', 'sant,', 'Rud?»', 'ropa', 'han', 'til', 'ein', 'nykomin', 'som', 'nettupp', 'stod', 'og', 'lagde', 'Bøkane', 'sine', 'ifraa', 'seg.', '«Heiter', 'Garden', 'Sørbraut?»', 'spurde', 'Rud.', '«Ja?»', '«So', 'er', 'der', 'eit', 'Nordbraut', 'og?»']
nor	751	33:34	['«mediere»,']	33:35	['«mediere»', ',']
nor	751	40:41	['Enhed»;']	41:43	['Enhed»', ';']
nor	751	70:71	['Borger»;']	72:74	['Borger»', ';']
nor	751	127:128	['«Motsetningane»,']	130:132	['«Motsetningane»', ',']
nor	769	13:14	['Fristelser».']	13:15	['Fristelser»', '.']
nor	816	86:87	['Barsøl».']	86:88	['Barsøl»', '.']
nor	820	47:48	['Hinmannen»;']	47:49	['Hinmannen»', ';']
nor	820	60:61	['hans»;']	61:63	['hans»', ';']
nor	892	28:29	['sjaa»,']	28:30	['sjaa»', ',']
nor	917	0:0	[]	0:4	['«Kors', 'i', 'Jesu', 'Namn!»']
nor	917	72:73	['Dag»;']	76:78	['Dag»', ';']
nor	958	8:9	['Veir».']	8:10	['Veir»', '.']
nor	975	31:32	['ut»,']	31:33	['ut»', ',']
fra	10	4:6	['»', ',']	4:5	['»,']
fra	334	3:5	['»', ',']	3:4	['»,']
fra	362	246:247	['»,']	246:248	['»', ',']
fra	362	276:277	['»,']	277:279	['»', ',']
fra	362	306:307	['».']	308:310	['»', '.']
fra	387	59:60	['»,']	59:61	['»', ',']
fra	398	101:102	['»,']	101:103	['»', ',']
fra	403	15:16	['»,']	15:17	['»', ',']
fra	425	50:51	['monsTrueux']	50:51	['monstrueux']
por	355	56:57	['«PROPAGANDA»,']	56:58	['«PROPAGANDA»', ',']
por	376	331:332	['rei»;']	331:333	['rei»', ';']
por	508	121:122	['serralho».']	121:123	['serralho»', '.']
por	605	82:83	['Carlos».']	82:84	['Carlos»', '.']
por	612	16:17	['«Vladimiro»,']	16:18	['«Vladimiro»', ',']
por	622	60:61	['Bonifácio»,']	60:62	['Bonifácio»', ',']
por	622	82:83	['Moderna».']	83:85	['Moderna»', '.']
por	623	95:96	['Presbítero»,']	95:97	['Presbítero»', ',']
por	631	105:106	['«bolada»...']	105:107	['«bolada»', '...']
por	632	159:160	['Dâmaso».']	159:161	['Dâmaso»', '.']
por	632	190:191	['sempre»,']	191:193	['sempre»', ',']
por	644	19:20	['Bonifácio».']	19:21	['Bonifácio»', '.']
por	675	26:27	['«senhazinha».']	26:28	['«senhazinha»', '.']
por	688	71:72	['«Mulato».']	71:73	['«Mulato»', '.']
por	690	96:97	['rachar».']	96:98	['rachar»', '.']
por	805	20:21	['«Assommoir»,']	20:22	['«Assommoir»', ',']
por	805	49:50	['«latrinária».']	50:52	['«latrinária»', '.']
por	805	65:66	['«excremento»!']	67:69	['«excremento»', '!']
por	812	39:40	['«métodos».']	39:41	['«métodos»', '.']
por	832	29:30	['Ilustrada»,']	29:31	['Ilustrada»', ',']
por	840	8:9	['«desvario»,']	8:10	['«desvario»', ',']
por	840	104:105	['relatório».']	105:107	['relatório»', '.']
por	848	10:11	['«grotescos»,']	10:12	['«grotescos»', ',']
por	848	12:13	['«bestas»,']	13:15	['«bestas»', ',']
por	964	3:4	['v']	3:3	[]
por	1109	25:26	['agitava-se-']	25:27	['agitava-se', '-']
por	1256	2:4	['disse', ',']	2:3	['disse,']
por	1260	10:12	['erguendo', '-']	10:11	['erguendo-']
por	1289	23:24	"['pequena"".']"	23:25	"['pequena""', '.']"
por	1309	0:1063	['Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da', 'Sé!', 'E', 'ela,', 'ela', 'que', 'o', 'entontecera', 'com', 'os', 'seus', 'olhinhos', 'e', 'as', 'suas', 'maneirinhas,', 'voltava-lhe', 'as', 'costas', 'mal', 'lhe', 'aparecia', 'outro,', 'bom', 'para', 'marido,', 'com', '25Depois', 'dos', 'primeiros', 'desesperos,', 'desabafos', 'em', 'patadas', 'no', 'soalho', 'e', 'blasfémias', 'de', 'que', 'pedia', 'logo', 'perdão', 'a', 'Nosso', 'Senhor', 'Jesus', 'Cristo,', 'quis', 'serenar,', 'estabelecer', 'a', 'razão', 'das', 'coisas.', 'Aonde', 'o', 'levava', 'aquela', 'paixão?', 'Ao', 'escândalo.', 'E', 'assim,', 'casada', 'ela,', 'cada', 'um', 'entrava', 'no', 'seu', 'destino', 'legitimo', 'e', 'sensato', '--', 'ela', 'na', 'sua', 'família,', 'ele', 'na', 'sua', 'paróquia.', 'Depois,', 'quando', 'se', 'encontrassem,', 'um', 'cumprimento', 'amável;', 'e', 'ele', 'poderia', 'passear', 'a', 'cidade', 'com', 'a', 'sua', 'cabeça', 'bem', 'direita,', 'sem', 'medo', 'dos', 'apartes', 'da', 'Arcada,', 'das', 'insinuações', 'da', 'gazeta,', 'das', 'severidades', 'de', 'sua', 'excelência', 'e', 'das', 'picadinhas', 'da', 'consciência!', 'E', 'a', 'sua', 'vida', 'seria', 'feliz.', '--', 'Não,', 'por', 'Deus!', 'a', 'sua', 'vida', 'não', 'poderia', 'ser', 'feliz', 'sem', 'ela!', 'Tirado', 'à', 'sua', 'existência', 'aquele', 'interesse', 'das', 'visitas', 'à', 'Rua', 'da', 'Misericórdia,', 'os', 'apertozinhos', 'de', 'mão,', 'a', 'esperança', 'de', 'delicias', 'melhores', '--', 'que', 'lhe', 'restava', 'a', 'ele?', 'Vegetar,', 'como', 'um', 'dos', 'tortulhos', 'nos', 'cantos', 'húmidos', 'da